photograph,row,column,loc,ratio1,ratio2,CFUs,MCH,NP,date,time,treatment,cw/rw
controlRL.png,e,4,"('e', 4)",0.02012034481240922,0.0,0.02012034481240922
controlRL.png,e,3,"('e', 3)",0.12072206887445533,0.0,0.12072206887445533
controlRL.png,e,2,"('e', 2)",0.04024068962481844,0.0,0.04024068962481844
controlRL.png,e,1,"('e', 1)",23.772187395861494,6.247367064253063,17.52482033160843
controlRL.png,f,12,"('f', 12)",12.37401205963167,3.571361204202637,8.802650855429034
controlRL.png,f,11,"('f', 11)",15.00977723005728,2.283659136208447,12.726118093848832
controlRL.png,f,10,"('f', 10)",0.04024068962481844,0.0,0.04024068962481844
controlRL.png,f,9,"('f', 9)",1.2474613783693718,0.0,1.2474613783693718
controlRL.png,f,8,"('f', 8)",0.060361034437227665,0.0,0.060361034437227665
controlRL.png,f,7,"('f', 7)",17.86686619341939,1.6498682746175561,16.216997918801834
controlRL.png,f,6,"('f', 6)",32.89676376828908,3.1991348251730662,29.697628943116012
controlRL.png,f,5,"('f', 5)",0.24144413774891066,0.0,0.24144413774891066
controlRL.png,f,4,"('f', 4)",0.050300862031023054,0.0,0.050300862031023054
controlRL.png,f,3,"('f', 3)",36.31722238639865,4.768521720540986,31.54870066585766
controlRL.png,f,2,"('f', 2)",2.1528768949277866,0.0,2.1528768949277866
controlRL.png,f,1,"('f', 1)",0.15090258609306917,0.0,0.15090258609306917
controlRL.png,g,12,"('g', 12)",10.019931716579793,3.0079915494551788,7.011940167124614
controlRL.png,g,11,"('g', 11)",0.060361034437227665,0.0,0.060361034437227665
controlRL.png,g,10,"('g', 10)",0.060361034437227665,0.0,0.060361034437227665
controlRL.png,g,9,"('g', 9)",30.37166049433172,4.969725168665078,25.401935325666642
controlRL.png,g,8,"('g', 8)",0.04024068962481844,0.0,0.04024068962481844
controlRL.png,g,7,"('g', 7)",5.331891375288444,0.0,5.331891375288444
controlRL.png,g,6,"('g', 6)",40.03948617669435,5.875140685223493,34.16434549147086
