photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,2,"('a', 2)",ratio1,ratio2,date,time,treatment,rotation,0.6871852323360916,0.0,0.6871852323360916,0.4527436859188493,0.0,0.4527436859188493,0.27587696086256425,0.0,0.27587696086256425,0,0,0,0.4527436859188493,0.0,0.4527436859188493,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,a,1,"('a', 1)",ratio1,ratio2,date,time,treatment,rotation,9.80043284532145,3.3781795035009545,6.422253341820496,6.456896745157178,2.2256727417019064,4.231224003455273,3.934475744354458,1.356201866425211,2.578273877929247,9.80043284532145,3.3781795035009545,6.422253341820496,6.456896745157178,2.2256727417019064,4.231224003455273,4.572598859570237,1.5761609705336805,2.9964378890365575
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,12,"('b', 12)",ratio1,ratio2,date,time,treatment,rotation,0.39927689369828134,0.0,0.39927689369828134,0.26305875628418135,0.0,0.26305875628418135,0.16029345625147792,0.0,0.16029345625147792,0,0,0,0.26305875628418135,0.0,0.26305875628418135,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,11,"('b', 11)",ratio1,ratio2,date,time,treatment,rotation,0.0032998090388287713,0.0,0.0032998090388287713,0.0021740393081337303,0.0,0.0021740393081337303,0.0013247393078634538,0.0,0.0013247393078634538,0,0,0,0.0021740393081337303,0.0,0.0021740393081337303,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,10,"('b', 10)",ratio1,ratio2,date,time,treatment,rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,9,"('b', 9)",ratio1,ratio2,date,time,treatment,rotation,0.00907447485677912,0.0,0.00907447485677912,0.005978608097367758,0.0,0.005978608097367758,0.003643033096624498,0.0,0.003643033096624498,0,0,0,0.005978608097367758,0.0,0.005978608097367758,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,8,"('b', 8)",ratio1,ratio2,date,time,treatment,rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,7,"('b', 7)",ratio1,ratio2,date,time,treatment,rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,6,"('b', 6)",ratio1,ratio2,date,time,treatment,rotation,5.14852705283259,2.614273711012094,2.5342533418204964,3.3920448305156525,1.7223826418689476,1.6696621886467047,2.066924505093954,1.0495247166548214,1.0173997884391326,2.4021539968499876,1.2197445947793,1.1824094020706877,3.3920448305156525,1.7223826418689476,1.6696621886467047,2.4021539968499876,1.2197445947793,1.1824094020706877
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,5,"('b', 5)",ratio1,ratio2,date,time,treatment,rotation,6.415653723742839,2.4880560152768934,3.927597708465945,4.226875924839005,1.6392256383328325,2.587650286506172,2.57562439931352,0.9988534381290441,1.576770961184476,2.9933586978853315,1.1608550640121076,1.8325036338732241,4.226875924839005,1.6392256383328325,2.587650286506172,2.9933586978853315,1.1608550640121076,1.8325036338732241
